A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,100232,PEGÕES CRUZ (FABRICA),38.673700000,-8.614230000,,,100232,,32198,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100233,PEGÕES GARE (ESTAÇÃO),38.664900000,-8.618390000,,,100233,,32197,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100234,PEGÕES GARE (ESTAÇÃO),38.665000000,-8.618380000,,,100234,,32197,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100235,PEGÕES X EN 10,38.681900000,-8.612450000,,,100235,,32200,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100237,PEGÕES CRUZ (EN 4 388),38.683200000,-8.607570000,,,100237,,32002,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100238,PEGÕES CRUZ (EN 4 388),38.683200000,-8.607570000,,,100238,,32002,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100239,N4 4700 (CARMO),38.682800000,-8.598470000,,,100239,,32003,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100240,N4 4700 (ZONA INDUSTRIAL) PQ INFANTIL,38.682900000,-8.598470000,,,100240,,32003,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100241,N4 4700 (ZONA INDUSTRIAL),38.682100000,-8.591670000,,,100241,,32004,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100242,N4 (X) R ANT LUIS FIDALGO (ZN IND),38.682200000,-8.591660000,,,100242,,32004,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100243,R MANUEL AFONSO - N4 (MINIMERCADO),38.680900000,-8.582670000,,,100243,,32005,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100244,R MANUEL AFONSO - N4 (MINIMERCADO),38.681000000,-8.582650000,,,100244,,32005,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100245,CANHA (EN 251) X EM 533,38.759800000,-8.633080000,,,100245,,32219,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100246,CANHA (EN 251) X EM 533,38.759700000,-8.633070000,,,100246,,32219,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100247,VALE POUSADA (EM 533),38.753800000,-8.649650000,,,100247,,32218,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100248,VALE POUSADA (EM 533),38.753700000,-8.649620000,,,100248,,32218,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100249,FOROS CARRAPATAL (EM 1127) QTA PEREIRAS,38.756100000,-8.658560000,,,100249,,32215,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100250,FOROS CARRAPATAL (EM 1127) QTA PEREIRAS,38.756100000,-8.658500000,,,100250,,32215,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100251,FOROS CARRAPATAL (EM 1127) QTA ANACLETO,38.760800000,-8.657330000,,,100251,,32216,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100252,FOROS CARRAPATAL (EM 1127) QTA ANACLETO,38.760700000,-8.657260000,,,100252,,32216,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100253,FOROS CARRAPATAL (EM 1127) LAR 3 IDADE,38.765200000,-8.656200000,,,100253,,32217,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100254,FOROS CARRAPATAL (EM 1127) LAR 3 IDADE,38.765200000,-8.656130000,,,100254,,32217,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100256,FOROS CARRAPATAL (EM 1127),38.767500000,-8.655570000,,,100256,,33727,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100257,CARRAPATAL (EM 533) X EM 1127,38.751400000,-8.657970000,,,100257,,32214,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100258,CARRAPATAL (EM 533) X EM 1127,38.751400000,-8.657950000,,,100258,,32214,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100259,VALÉRIO (EM 533) X EN 10 KM 3000,38.749300000,-8.664970000,,,100259,,32213,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100260,VALÉRIO (EM 533) X EN 10 KM 3000,38.749200000,-8.664940000,,,100260,,32213,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100261,TAIPADAS (EN 10) CASA CANTONEIROS,38.747000000,-8.664310000,,,100261,,32211,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100262,TAIPADAS (EN 10) CASA CANTONEIROS,38.747000000,-8.664250000,,,100262,,32211,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100263,TAIPADAS (EN 10 1335),38.743300000,-8.660620000,,,100263,,32210,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100264,TAIPADAS (EN 10 1335),38.743300000,-8.660570000,,,100264,,32210,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100265,TAIPADAS (EN 10) SOCIEDADE RECREATIVA,38.740000000,-8.657340000,,,100265,,32209,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100266,TAIPADAS (EN 10) SOCIEDADE RECREATIVA,38.740000000,-8.657280000,,,100266,,32209,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100267,MONTE CARINHAS (EN 10),38.732700000,-8.650000000,,,100267,,32208,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100268,MONTE CARINHAS (EN 10),38.732700000,-8.649940000,,,100268,,32208,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100269,MONTE JOSÉ FRANCISQUINHO (EN 10),38.722600000,-8.637390000,,,100269,,32207,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
